Hierarchy Level	Metric Name	Metric Value
0	Elapsed Time	0.199174
1	CPU Time	0.040000
2	Effective Time	0.040000
2	Spin Time	0.0
2	Overhead Time	0.0
1	Total Thread Count	1
1	Paused Time	0.0
0	Top Hotspots	
0	Function	Module	CPU Time	% of CPU Time(%)
0	_PyEval_EvalFrameDefault	python3.12	0.010015	25.0
0	func@0x5ff540	python3.12	0.010011	25.0
0	func@0x5d5960	python3.12	0.009989	25.0
0	func@0x61cc10	python3.12	0.009985	25.0
0	Effective Physical Core Utilization	1.6% (1.015 out of 64)
1	Effective Logical Core Utilization	0.8% (1.014 out of 128)
0	Collection and Platform Info	
1	Application Command Line	numactl "--cpunodebind=0,1" "--membind=0,1" "/event_model/.venv/bin/python" "/event_model/bioBErt_pocs/numa_bench/numa_bench.py" "--model" "pubmed" "--bs" "512" "--workers" "2" "--single-run" 
1	Operating System	6.8.0-110-generic DISTRIB_ID=Ubuntu DISTRIB_RELEASE=24.04 DISTRIB_CODENAME=noble DISTRIB_DESCRIPTION="Ubuntu 24.04.4 LTS"
1	Computer Name	gnr10
1	Result Size	4655266
1	Collection start time	16:06:58 28/04/2026 UTC
1	Collection stop time	16:06:59 28/04/2026 UTC
1	Collector Type	Driverless Perf per-process counting,User-mode sampling and tracing
1	CPU	
2	Name	Intel(R) Xeon(R) Processor code named Graniterapids
2	Frequency	2900000635
2	Logical CPU Count	128
2	LLC size	150994944
2	Cache Allocation Technology	
3	Level 2 capability	available
3	Level 3 capability	available
