Hierarchy Level	Metric Name	Metric Value
0	Elapsed Time	0.041638
1	CPU Time	0.035000
1	Memory Bound	0.0
2	L1 Bound	87.8
2	L2 Bound	0.0
2	L3 Bound	0.0
2	DRAM Bound	0.0
3	DRAM Bandwidth Bound	0.0
2	Store Bound	0.0
2	NUMA: % of Remote Accesses	0.0
1	Loads	0
1	Stores	0
1	LLC Miss Count	0
2	Local Memory Access Count	0
2	Remote Memory Access Count	0
2	Remote Cache Access Count	0
1	Total Thread Count	2
1	Paused Time	0.0
0	Bandwidth Utilization	
0	Bandwidth Domain	Platform Maximum	Observed Maximum	Average	% of Elapsed Time with High BW Utilization(%)
0	DRAM, GB/sec	606.000000	2.200000	0.0	0.0
0	DRAM Single-Package, GB/sec	303.000000	1.200000	0.0	0.0
0	Collection and Platform Info	
1	Application Command Line	numactl "--cpunodebind=0,1" "--membind=0,1" "/event_model/.venv/bin/python" "/event_model/bioBErt_pocs/numa_bench/numa_bench.py" "--model" "pubmed" "--bs" "512" "--workers" "2" "--single-run" 
1	Operating System	6.8.0-110-generic DISTRIB_ID=Ubuntu DISTRIB_RELEASE=24.04 DISTRIB_CODENAME=noble DISTRIB_DESCRIPTION="Ubuntu 24.04.4 LTS"
1	Computer Name	gnr10
1	Result Size	9254459
1	Collection start time	16:07:28 28/04/2026 UTC
1	Collection stop time	16:07:28 28/04/2026 UTC
1	Collector Type	Driverless Perf system-wide sampling
1	CPU	
2	Name	Intel(R) Xeon(R) Processor code named Graniterapids
2	Frequency	2900001954
2	Logical CPU Count	128
2	Max DRAM Single-Package Bandwidth	303000000000.000000
2	LLC size	150994944
2	Cache Allocation Technology	
3	Level 2 capability	available
3	Level 3 capability	available
0	Recommendations:
1	Increase execution time	 	Application execution time is too short. Metrics data may be unreliable. Consider reducing the sampling interval or increasing your application execution time.
