Hierarchy Level	Metric Name	Metric Value
0	Elapsed Time	0.040285
1	Clockticks	145000000
1	Instructions Retired	188500000
1	CPI Rate	0.769231
1	MUX Reliability	
1	Bottlenecks View (preview)	
2	Mispredictions	
2	Big Code	
2	Instruction Fetch Bandwidth	
2	Cache Memory Bandwidth	0.0
2	Compute Bound Estimation	
2	Irregular Overhead	
2	Branching Overhead	0.0
2	Useful Work	
1	Top-down Microarchitecture Analysis (TMA)	
2	Retiring	
3	Light Operations	
4	FP Arithmetic	
5	FP x87	
5	FP Scalar	0.0
5	FP Vector	0.0
6	128-bit FP Vector	0.0
6	256-bit FP Vector	0.0
6	512-bit FP Vector	0.0
4	Integer Operations	0.0
5	128-bit Integer Vector Operations	0.0
5	256-bit Vector Operations	0.0
4	Memory Operations	
4	Fused Instructions	
4	Non Fused Branches	
4	Other	
5	Nop Instructions	
5	Shuffles_256b	
3	Heavy Operations	0.0
4	Few Uops Instructions	0.0
4	Microcode Sequencer	0.0
5	Assists	0.0
6	Page Faults	0.0
6	FP Assists	0.0
6	AVX Assists	0.0
5	CISC	0.0
2	Front-End Bound	
3	Front-End Latency	
4	ICache Misses	0.0
5	Code L2 Hit	0.0
5	Code L2 Miss	0.0
4	ITLB Misses	0.0
5	Code STLB Hit	0.0
5	Code STLB Miss	0.0
6	Code STLB Miss 4K	0.0
6	Code STLB Miss 2M	0.0
4	Branch Resteers	0.0
5	Mispredicts Resteers	
5	Clears Resteers	
5	Unknown Branches	0.0
4	MS Switches	0.0
4	Length Changing Prefixes	0.0
4	DSB Switches	0.0
3	Front-End Bandwidth	
4	Front-End Bandwidth MITE	0.0
5	Decoder-0 Alone	0.0
4	Front-End Bandwidth DSB	0.0
4	MS	0.0
4	(Info) DSB Coverage	0.0
4	(Info) DSB Misses	
2	Bad Speculation	
3	Branch Mispredict	0.0
4	Cond NT Mispredict	0.0
4	Cond TK Mispredict	0.0
4	Ind Call Mispredict	0.0
4	Ind Jump Mispredict	0.0
4	Ret Mispredict	0.0
4	Other Mispredicts	0.0
3	Machine Clears	
4	Other Nukes	
2	Back-End Bound	0.0
3	Memory Bound	0.0
4	L1 Bound	0.0
5	DTLB Overhead	0.0
6	Load STLB Hit	0.0
6	Load STLB Miss	0.0
7	Load STLB Miss 4K	0.0
7	Load STLB Miss 2M	0.0
7	Load STLB Miss 1G	0.0
5	Loads Blocked by Store Forwarding	0.0
5	L1 Latency Dependency	0.0
5	Lock Latency	0.0
5	Split Loads	0.0
5	FB Full	0.0
4	L2 Bound	0.0
5	L2 Hit Latency	0.0
4	L3 Bound	0.0
5	Contested Accesses	0.0
5	Data Sharing	0.0
5	L3 Latency	0.0
5	SQ Full	0.0
4	DRAM Bound	0.0
5	Memory Bandwidth	0.0
6	MBA Stalls	0.0
5	Memory Latency	0.0
6	Local Memory	0.0
6	Remote Memory	0.0
6	Remote Cache	0.0
4	Store Bound	0.0
5	Store Latency	0.0
5	Split Stores	0.0
5	Streaming Stores	0.0
5	DTLB Store Overhead	0.0
6	Store STLB Hit	0.0
6	Store STLB Miss	0.0
7	Store STLB Miss 4K	0.0
7	Store STLB Miss 2M	0.0
7	Store STLB Miss 1G	0.0
3	Core Bound	0.0
4	Divider	0.0
5	FP Divider	0.0
5	INT Divider	0.0
4	Serializing Operations	10.0
5	Slow Pause	0.0
5	C01 Wait	0.0
5	C02 Wait	0.0
5	Memory Fence	0.0
4	AMX Busy	0.0
4	Port Utilization	
5	Cycles of 0 Ports Utilized	0.0
6	Mixing Vectors	0.0
5	Cycles of 1 Port Utilized	0.0
5	Cycles of 2 Ports Utilized	0.0
5	Cycles of 3+ Ports Utilized	0.0
6	ALU Operation Utilization	0.0
7	Port 0	0.0
7	Port 1	0.0
7	Port 6	0.0
6	Load Operation Utilization	0.0
6	Store Operation Utilization	0.0
1	Average CPU Frequency	4142857188.571429
1	Total Thread Count	2
1	Paused Time	0.0
0	Effective Physical Core Utilization	0.0% (0.000 out of 64)
1	Effective Logical Core Utilization	0.7% (0.869 out of 128)
0	Collection and Platform Info	
1	Application Command Line	numactl "--cpunodebind=0,1" "--membind=0,1" "/event_model/.venv/bin/python" "/event_model/bioBErt_pocs/numa_bench/numa_bench.py" "--model" "pubmed" "--bs" "512" "--workers" "2" "--single-run" 
1	Operating System	6.8.0-110-generic DISTRIB_ID=Ubuntu DISTRIB_RELEASE=24.04 DISTRIB_CODENAME=noble DISTRIB_DESCRIPTION="Ubuntu 24.04.4 LTS"
1	Computer Name	gnr10
1	Result Size	8883920
1	Collection start time	16:07:05 28/04/2026 UTC
1	Collection stop time	16:07:05 28/04/2026 UTC
1	Collector Type	Driverless Perf system-wide sampling
1	CPU	
2	Name	Intel(R) Xeon(R) Processor code named Graniterapids
2	Frequency	2900000032
2	Logical CPU Count	128
2	LLC size	150994944
2	Cache Allocation Technology	
3	Level 2 capability	available
3	Level 3 capability	available
